iyear,imonth,iday,provstate,city,latitude,longitude,location,summary,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,motive,nperps,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,addnotes,scite1,scite2,scite3,dbsource
1999,3,28,Wisconsin,Milwaukee,43.04181,-87.906844,Fire ignited at the rear door of the facility,"3/28/1999: Peter Quinn ignited a fire at the Summit Women's Health Organization in Milwaukee, Wisconsin, United States.  The clinic sustained minor damages.  There were no casualties.",0,1,0,7,Facility/Infrastructure Attack,,.,5,Abortion Related,40,Clinics,,Summit Women's Health Organization,217,United States,,.,,.,,,,.,,.,,.,,,,.,Anti-Abortion Activists,To protest the practice of abortion and to sabotage abortion facilities operating in Wisconsin.,1,8,Incendiary,20,Gasoline or Alcohol,,.,,.,,.,,.,,.,,.,Accelerant used to ignite fire,0,0,0,0,0,1,3,Minor (likely < $1 million),,Rear wooden door damaged,"The fire was ignited between 2:00 AM and 3:00 AM.  Three days later, Peter Quinn set a fire at a Planned Parenthood clinic in nearby Waukesha, Wisconsin (199903310007).","""A Teen-Ager Who Faces Charges of Arson and Vandalism In?,"" Associated Press, May 11, 1999.","""Teen Won't Go To Trial in Clinic Arson Cases,"" Milwaukee Journal Sentinel, February 11, 2000.","Clinic Security Department, ""1999 Chronicle of Clinic Violence & Harassment,"" Planned Parenthood Federation of America, Inc.",Anti-Abortion Project 2010
2000,7,19,Wisconsin,Milwaukee,43.04181,-87.906844,,"07/19/2000: A former National Guard pilot, Milan S. Mititch, broke into the 128th Air Refueling Wing air base at Mitchell International Airport, Milwaukee, Wisconsin, U.S.A. to place a bomb as well as scrawled graffiti calling for an end to intervention in Kosovo. The bomb failed to explode and Mititch was later arrested for the incident.",0,0,0,3,Bombing/Explosion,,.,4,Military,31,Military Aircraft,U.S. Military,128th Air Refueling Wing Aircraft,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unaffiliated Individual(s),Unknown,1,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,.,,.,,.,,.,,.,,.,,0,0,0,0,0,1,3,Minor (likely < $1 million),,Graffiti was sprayed on two buildings and a satellite dish.,"The suspect was chased by a security guard and later apprehended, while the two small explosives he dropped were safely defused.","Andrew Tilghman, ?Former National Guard pilot charged in bomb, graffiti incident,? The Associated Press, July 21, 2000.","Gretchen Ehlke, ?Bombs found at National Guard base,? The Associated Press, July 19, 2000.","Meg Jones and Nick Sargent, ?Bombs found at National Guard base; Man flees after leaving graffiti referring to strife in Yugoslavia,? Milwaukee Journal Sentinel, July 20, 2000.",CETIS
2012,8,5,Wisconsin,Oak Creek,42.88585,-87.863136,The incident occurred 15km south of Milwaukee,"08/05/2012: Wade Michael Page attacked a Sikh temple in Oak Creek, Wisconsin, United States. At least six people were killed and four others wounded before Page was shot by a responding police officer and subsequently died from a self-inflicted gunshot wound. No group claimed responsibility for the incident; however, the assailant was a member of a white supremacist organization.",0,1,0,2,Armed Assault,,.,15,Religious Figures/Institutions,86,Place of Worship,Sikh Temple of Wisconsin,Sikh Temple,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unaffiliated Individual(s),,1,5,Firearms,5,Unknown Gun Type,,.,,.,,.,,.,,.,,.,,7,6,4,4,0,0,,.,,,Casualty numbers conflict for this attack.,"""3   shot   at temple remain in critical condition,"" The Associated Press State & Local Wire, August 6, 2012.","""(adding fresh inputs about the shooter's identity),"" Press Trust of India, August 6, 2012.","""Sikh temple shooter had white supremacist ties: FBI,"" Agence France Presse, August 6, 2012.",START Primary Collection
2014,3,25,Illinois,Orland Park,41.630557,-87.854074,,"03/25/2014: Assailants opened fire on the dome of the Orland Park Prayer Center, a mosque in Orland Park city, Illinois, United States. No casualties were reported. No group claimed responsibility for the incident.",0,1,0,7,Facility/Infrastructure Attack,,.,15,Religious Figures/Institutions,86,Place of Worship,Prayer Center of Orland Park,Mosque,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unknown,,-99,5,Firearms,5,Unknown Gun Type,,.,,.,,.,,.,,.,,.,,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,The dome of a mosque was damaged in this attack.,,"""Shot fired at Orland Park mosque,"" WGN, March 26, 2014.","""Muslims Seek Probe of Illinois Mosque Shots,"" IQNA, March 27, 2014.",,START Primary Collection
1999,7,2,Illinois,Northbrook,42.12972,-87.831564,,"07/02/1999: Perpetrator, Benjamin Nathaniel Smith, shot and injured Fu S. Lin in Northbrook, Illinois, U.S.A. Fu S. Lin was an Asian-American. Smith, an avowed white supremacists and member of the Christian Identity church, World Church of the Creator, injured a total of nine people and killed two in his three day shooting spree.  As the police closed in on Smith, he committed suicide.",1,1,0,2,Armed Assault,,.,14,Private Citizens & Property,71,Race/Ethnicity Identified,Asian American Citizen,Fu S. Lin,217,United States,,.,,.,,,,.,,.,,.,,,,.,World Church of the Creator,Unknown,1,5,Firearms,3,Handgun,,.,,.,,.,,.,,.,,.,,0,0,1,1,0,0,,.,,,,"FBI ""Terrorism in the United States 1999"". Counterterrorism Threat Assessment and Warning Unit, Counterterrorism Division. U.S. Department of Justice, Federal Bureau of Investigation.","Bill Hemmer, Lisa Price and Jeff Flock ""Midwest Shootings: Suspect Dead."" CNN MORNING NEWS, July 5, 1999.",,CETIS
1997,12,30,Illinois,Oakwood,40.11411,-87.778197,,,0,1,0,3,Bombing/Explosion,,.,15,Religious Figures/Institutions,86,Place of Worship,Oakwood United Methodist Church,church,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unknown,,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,.,,.,,.,,.,,.,,.,Explosive,1,1,0,,,1,,.,,,,,,,PGIS
1999,7,2,Illinois,Skokie,42.02634,-87.755679,,"07/02/1999: Perpetrator, Benjamin Nathaniel Smith, shot and killed Ricky Birdson in Skokie, Illinois, U.S.A. Ricky Birdson was an African American man who was walking with his family at the time of the attack.  Smith, an avowed white supremacists and member of the Christian Identity church, World Church of the Creator, injured a total of nine people and killed two in his three day shooting spree.  As the police closed in on Smith, he committed suicide.",1,1,0,2,Armed Assault,,.,14,Private Citizens & Property,71,Race/Ethnicity Identified,African American Citizen,Ricky Birdson,217,United States,,.,,.,,,,.,,.,,.,,,,.,World Church of the Creator,Unknown,1,5,Firearms,3,Handgun,,.,,.,,.,,.,,.,,.,,1,1,0,0,0,0,,.,,,,"FBI ""Terrorism in the United States 1999"". Counterterrorism Threat Assessment and Warning Unit, Counterterrorism Division. U.S. Department of Justice, Federal Bureau of Investigation.","Bill Hemmer, Lisa Price and Jeff Flock ""Midwest Shootings: Suspect Dead."" CNN MORNING NEWS, July 5, 1999.",,CETIS
1999,7,2,Illinois,Chicago,41.88415,-87.632409,,"07/02/1999: Perpetrator, Benjamin Nathaniel Smith, shot at 15 people leaving a Jewish temple in Chicago, Illinois, U.S.A. Six people were injured in the attack.  Smith, an avowed white supremacists and member of the Christian Identity church, World Church of the Creator, went on to injure three and kill two more people in his three day shooting spree.  As the police closed in on Smith, he committed suicide.",1,1,0,2,Armed Assault,,.,14,Private Citizens & Property,69,Religion Identified,Jewish people,Jews attending temple.,217,United States,,.,,.,,,,.,,.,,.,,,,.,World Church of the Creator,Unknown,1,5,Firearms,3,Handgun,,.,,.,,.,,.,,.,,.,,0,0,6,6,0,0,,.,,,,"FBI ""Terrorism in the United States 1999"". Counterterrorism Threat Assessment and Warning Unit, Counterterrorism Division. U.S. Department of Justice, Federal Bureau of Investigation.","Bill Hemmer, Lisa Price and Jeff Flock ""Midwest Shootings: Suspect Dead."" CNN MORNING NEWS, July 5, 1999.",,CETIS
2003,4,4,Illinois,Chicago,41.88415,-87.632409,,"04/04/2003: Animal Liberation Front (ALF) members set fire to a store that sold tiger and leopard meat in Chicago, Illinois, U.S.A. No casualties were reported in the attack.",0,1,0,7,Facility/Infrastructure Attack,,.,1,Business,7,Retail/Grocery/Bakery,"A store that sold exotic meat in Chicago, Illinois","A store in Chicago, Illinois, that sold the meat of endangered animal meat",217,United States,,.,,.,,,,.,,.,,.,,,,.,Animal Liberation Front (ALF),Unknown,,8,Incendiary,18,Arson/Fire,,.,,.,,.,,.,,.,,.,,0,0,0,0,0,1,4,Unknown,,,,"Steve Barret, ?Animal-rights terrorists strike again,? Chattanooga Times Free Press, April 14, 2003.",,,CETIS
1997,7,22,Alabama,Tuscaloosa,33.210435,-87.566214,,,0,1,0,7,Facility/Infrastructure Attack,,.,5,Abortion Related,40,Clinics,West Alabama Womens Center,clinic,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unknown,,,8,Incendiary,,.,,.,,.,,.,,.,,.,,.,Incendiary,0,,0,,,1,3,Minor (likely < $1 million),100000,,,,,,PGIS
2003,11,18,Indiana,Terre Haute,39.450214,-87.413382,,"11/18/2003: Unknown perpetrators set fire to CANDLES, a Holocaust memorial museum in Terre Haute, Indiana, United States.  There were no casualties but the entire building was gutted by the blaze.  On the side of the building ""remember Timmy McVeigh"" was written on the wall.  Timothy McVeigh was executed in a federal prison near Terre Haute in 2001.",0,1,0,7,Facility/Infrastructure Attack,,.,1,Business,,.,Holocaust Memorial Museum,"CANDLES, Terre Haute Indiana",217,United States,,.,,.,,,,.,,.,,.,,,,.,White Extremists,,-99,8,Incendiary,20,Gasoline or Alcohol,,.,,.,,.,,.,,.,,.,A brick was thrown through the main glass door followed by an incendiary,0,0,0,0,0,1,3,Minor (likely < $1 million),,Building destroyed,"This incident took place right after 12:00 AM.  Less than two years later, the museum was rebuilt.","""Fire Destroys Indiana Holocaust Museum,"" USA Today, November 11, 2003.","""Fire Destroys Terre Haute, Ind., Holocaust Museum; Founded By Auschwitz Survivor,"" Associated Press, November 18, 2003.","""Holocaust Museum Rebuilt After 2003 Arson,"" Deseret Morning News, April 5, 2005.",Hewitt Project
2012,1,1,Florida,Pensacola,30.488927,-87.227633,,"01/01/2012: An assailant threw an incendiary device at the American Family Planning clinic in Pensacola, Florida, United States. There were no reported casualties in the attack. An individual, identified as Bobby Joe Rogers, claimed responsibility for the incident and stated that he carried out the attack due to his anti-abortion beliefs.",0,1,0,7,Facility/Infrastructure Attack,,.,5,Abortion Related,40,Clinics,American Family Planning,Clinic,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unaffiliated Individual(s),"An individual, identified as Bobby Joe Rogers, claimed responsibility for the incident and stated that he carried out the attack due to his anti-abortion beliefs.",1,8,Incendiary,20,Gasoline or Alcohol,,.,,.,,.,,.,,.,,.,A firebomb was used in the attack.,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,An abortion clinic building was damaged in this attack.,,"""Man arrested, charged in Fla. abortion clinic fire,"" The Associated Press, January 6, 2012.",,,START Primary Collection
1999,8,7,Michigan,Escanaba,45.74564,-87.079759,"at residence in Escanaba, Michigan","08/07/1999: Members of the Earth Liberation Front (ELF), Frank Ambrose and  Marie Mason, torched two fishing boats owned by James Boydtson, a retired veterinarian and former mink rancher.  One aluminum boat was completely destroyed by the fire, and the second, badly damaged.  Additionally, the slogan ""Fur is murder. ELF,"" was spray painted on his garage door. There were no casualties in the incident and the amount of property damage is unknown.  Ambrose and Mason were indicted and sentenced for an arson committed at Michigan State University on New Year's eve of 1999, and during their trial, admitted to several other ecotage incidents including this case.  Collectively, they were responsible for about a dozen acts of destruction.",0,1,0,7,Facility/Infrastructure Attack,,.,11,Maritime,57,Civilian Maritime,"James Boydston, retired veterinarian and former mink raiser","two fishing boats of James Boydston, retired veterinarian and former mink raiser",217,United States,,.,,.,,,,.,,.,,.,,,,.,Earth Liberation Front (ELF),Boydston used to raise minks and be a spokesman for mink ranchers.,2,8,Incendiary,18,Arson/Fire,,.,,.,,.,,.,,.,,.,,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,one fishing boat destroyed and another heavily damaged,"Frank Ambrose was sentenced to nine years in prison for the MSU arson (due to his cooperation with the FBI in the case) and his ex-wife, and co-actor in the crime, Marie Mason, was sentenced to 21 years and 10 months in prison.","Ed White, ""Restitution tops $4M in eco-terrorism case,"" Associated Press State & Local Wire, November 7, 2008.","Ed White, ""Woman gets 22 years for '99 Mich. campus arson,"" Associated Press Online, February 5, 2009.","""Ecoterrorism case restitution soars to $4M,"" Grand Rapid Press (Michigan), November 8, 2008.",Eco Project 2010
2008,2,9,Tennessee,Columbia,35.615725,-87.035447,,"02/09/2008:  Three men fire-bombed a mosque in Columbia, Tennessee. The messages ?White power? and ?we run the world?, as well as a swastika, were sprayed on the walls. No groups have claimed responsibility for the attack.",0,1,0,7,Facility/Infrastructure Attack,,.,15,Religious Figures/Institutions,86,Place of Worship,Islamic Mosque,Islamic Center of Columbia,217,United States,,.,,.,,,,.,,.,,.,,,,.,Neo-Nazi Group,Unknown,3,8,Incendiary,20,Gasoline or Alcohol,,.,,.,,.,,.,,.,,.,"Fire was set using gasoline, rags and empty beer bottles.",0,0,0,0,0,1,4,Unknown,,The small mosque was destroyed by the fire,"The phrases ""white power"" and ""we run the country"" written by the perpetrators imply a specific motive, but authorities are uncertain whether or not the act constitutes a hate crime.","Kristin M. Hall, ?3 men face federal charges in burning down mosque,? The Associated Press State & Local Wire, Feb 12, 2008.","?Arrests made in Tenn. mosque fire,? UPI, Feb 11, 2008.",,CETIS
1998,8,2,Indiana,Lafayette,40.41737,-86.876554,,"08/02/1998: A stolen pickup truck carrying a homemade bomb crashed through the doors of the county courthouse in Lafayette, Indiana, U.S.A., and ignited an accelerant on board, causing a fire that heavily damaged the building. However, the bomb did not explode and no one was injured.",0,1,0,3,Bombing/Explosion,7,Facility/Infrastructure Attack,2,Government (General),14,Judge/Attorney/Court,Indiana Judicial System,The County Courthouse in Lafayette,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unknown,Unknown,1,6,Explosives/Bombs/Dynamite,15,Vehicle,8,Incendiary,18,Arson/Fire,,.,,.,,.,,.,"A pick-up truck was rammed into the target building carrying a homemade bomb.  The bomb failed to detonate, although accelerant ignited starting a fire.",0,0,0,0,0,1,3,Minor (likely < $1 million),,,,"Rex W. Huppke, ?Stolen truck crashes into county courthouse, sparking fire,? The Associated Press, August 3, 1998.","Donna Kelley and Mary Schwager, ?Police Investigate Lafayette, Indiana Truck Fire as Possible Terrorist Attack,? CNN, August 3, 1998.",,CETIS
